Engleza,Romana
The pencils have already been bought.,Creioanele au fost deja cumpărate.
Tom should eat.,Tom ar trebui să mănânce.
"As expected, the price of imported goods rose.","Cum era de așteptat, prețul bunurilor importate a crescut."
Tom is with his friends.,Tom este cu prietenii lui.
Three voted against the idea.,Trei au votat împotriva ideii.
Tom said his job was tough.,Tom a spus că slujba lui e dificilă.
Am I under suspicion?,Sunt suspectat?
He practiced every day at home.,El exersa în fiecare zi acasă.
Tom didn't get up early enough to catch the first train.,Tom nu s-a trezit destul de dimineaţă pentru a prinde primul tren.
Tom doesn't like to be kept waiting for a long time.,Lui Tom nu-i place să fie ținut în așteptare pentru mult timp.
"Grades are important, but they are not everything.","Notele sunt importante, dar nu sunt totul."
The crowd filled the hall.,Mulțimea a umplut sala.
"Wait just a minute, please.","Așteaptă un minut, te rog."
Do your homework now.,Acum fă-ţi temele.
Tom was a tank commander.,Tom era un comandant de tanc.
Let them do their jobs.,Lasă-i să facă ce au de făcut.
You look like you're enjoying the party.,Se pare că te distrezi la petrecere.
I've got tons of ideas.,Am o grămadă de idei.
He sang a song.,El cânta un cântec.
Metals conduct electricity.,Metalele conduc energia electrică.
I have to attain my purpose at all costs.,Trebuie să-mi ating scopul cu orice preț.
"General Motors laid off 76,000 workers.",General Motors a dat afară cei 76.000 de muncitori.
Tom was accused of doing sloppy work.,Tom a fost acuzat că a făcut o treabă de mântuială.
Tom usually walks home from school.,De obicei Tom vine pe jos de la școală.
Tom is convinced that the earth is flat.,Tom este convins că Pământul este plat.
"The painting looks great, but you hung it a little crooked.","Tabloul arată foarte bine, dar l-ai atârnat un pic strâmb."
Tom doesn't know his neighbors.,Tom nu-și cunoaște vecinii.
It's my fault.,E vina mea.
Tell me what movies you guys have seen.,"Băieți, spuneți-mi ce filme ați văzut."
They must be dead.,Ei trebuie să fie morți.
Tom doesn't like Mary's living there alone.,Lui Tom nu-i place că Mary locuiește acolo singură.
How lucky you are!,Cât de norocos ești!
"Of course, we're prepared.",Bineînțeles că suntem pregătiți.
We should determine what is to be done first.,Ar trebui să determinăm ce trebuie făcut mai întâi.
We're having fun.,Noi ne distrăm.
Who are you with?,Cu cine ești?
The only country Tom has ever lived in is Australia.,Singura țară în care Tom a locuit este Australia.
Barbecuing is one way to cook meat.,Grătarul este o modalitate de a găti carnea.
Aren't you pleased?,Nu ești încântat?
I asked Tom if he could have it ready by 2:30.,L-am întrebat pe Tom dacă el o poate avea gata până la 2:30.
The toilet is over there.,Toaleta este acolo.
Are you the one who wrote that report?,Ești tu cel care a scris acel raport?
"Tom laughed at some of Mary's jokes, but he thought some of them weren't very funny.","Tom a râs la unele glume ale Mariei, dar el a crezut că unele dintre ele nu erau foarte haioase."
